Origen,E02006825,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731,E02003732,E02003733,E02003734,E02003735,E02003736,E02003737,E02003738,E02003739,E02006873,E02003740,E02006874,E02003742,E02003743,E02006877,E02003744,E02006878,E02003745,E02003746,E02003747,E02003748,E02003749,E02003750,E02003751,E02003752,E02003753,E02003754,E02003755,E02003756,E02003237,E02003757,E02003238,E02003758,E02003239,E02003759,E02003240,E02003760,E02003241,E02003761,E02003242,E02003762,E02003243,E02003763,E02003244,E02003764,E02003245,E02003765,E02003246,E02003766,E02003247,E02003767,E02003248,E02003768,E02003249,E02003769,E02003250,E02003770,E02003251,E02003771,E02003252,E02003772,E02003253,E02003773,E02003254,E02003774,E02003775,E02003255,E02003776,E02003257,E02003777,E02003778,E02003779,E02003780,E02003781,E02003783,E02003784,E02003785,E02003786,E02003787,E02003788,E02003789,E02003790,E02003791,E02003792,E02003793
E02003766,77.56137,42.31447,33.55585,44.4147,37.7635,32.65289,39.55877,37.02224,42.64985,46.93336,47.59296,49.9436,44.03405,49.99747,74.66441,48.94098,63.03015,63.11791,56.72655,77.64076,77.27589,76.81141,17.56629,77.47598,24.74184,80.13878,86.47784,57.19239,84.30962,42.03702,70.05945,61.06239,66.16728,56.45264,50.02832,61.06239,49.41766,37.86955,39.63503,35.77605,33.36827,26.01002,58.63394,32.47938,55.21592,30.50745,56.21592,39.68374,57.09237,10.66503,68.44461,11.01566,56.59684,9.468196,59.17121,22.06556,58.27967,6.06074,56.92027,20.94564,56.72763,7.458891,56.02305,25.93525,56.13181,16.60844,55.04466,18.76322,52.48162,25.70156,58.0871,32.47931,51.87214,30.3682,51.63801,36.96277,58.8884,34.02296,34.97517,53.25141,50.29327,56.46124,30.6455,57.46381,25.56656,41.22104,50.29531,28.27978,27.02298,53.88919,57.11116,40.90709,44.02802,62.50686,71.33006,63.33348,54.11969,44.9507
E02003247,103.8089,68.56198,59.19398,70.66222,64.01102,58.90041,65.8063,63.26976,68.89738,73.18088,73.84048,76.19112,70.28157,75.40945,99.48489,73.76147,87.85064,87.9384,81.54704,102.4612,103.5234,103.0589,50.82254,103.7235,57.86598,39.56704,45.90609,10.85909,43.73787,15.89364,35.88578,45.38498,30.53846,49.25979,39.16616,45.38498,56.12967,62.69004,19.15995,21.99166,46.11253,30.4173,12.80593,46.17609,8.643401,59.99607,9.643401,67.80163,16.85396,54.91957,23.68247,55.27021,10.02433,54.66252,14.4956,52.81605,14.19609,51.44527,6.104,49.06353,12.65774,53.87,5.359951,44.49401,11.4562,40.65793,10.36905,63.95754,8.817041,70.89589,7.725755,69.57683,11.21533,67.46572,13.67785,74.06029,12.55511,71.12048,59.56191,15.29125,76.54079,17.05317,56.89302,83.71133,48.61362,67.46856,76.54283,54.5273,50.07004,80.13671,82.08128,74.03123,73.50031,87.47698,96.74204,88.3036,87.24382,78.07484
E02003767,100.1657,59.29209,55.43119,59.51011,60.36784,55.25723,62.16311,59.62658,65.25419,69.5377,70.1973,72.54793,66.63839,71.64665,84.76024,59.03681,73.12598,73.21374,66.82238,87.73659,99.88023,99.41574,40.17062,100.0803,47.34618,55.47543,61.81449,44.53903,59.64627,35.06402,56.12514,65.98985,61.52562,66.54848,51.93332,65.98985,59.5135,47.96538,34.40049,30.02956,43.4641,21.97896,42.65516,42.57521,48.24292,40.60329,48.34237,50.10424,32.42902,20.76086,61.47161,21.11149,47.10707,13.09931,52.19821,32.1614,50.14632,16.64516,46.88176,31.36614,48.86679,22.60433,47.22079,20.02483,49.15881,39.21278,48.07166,22.38729,45.50862,29.32563,45.79245,25.3264,44.89914,23.21528,44.66501,29.80986,44.21255,26.87005,45.31074,46.27841,65.38868,48.93989,53.23385,72.55923,48.17089,56.31646,72.89965,50.88412,49.62732,76.49352,78.31847,63.51143,66.63235,83.71418,92.97925,84.5408,76.72402,67.55503
E02003248,102.4827,67.23579,57.86779,69.33602,62.68483,57.57422,64.48009,61.94357,67.57118,71.85469,72.51428,74.86492,68.95538,74.08326,98.15871,72.43527,86.52444,86.61221,80.22085,101.135,102.1972,101.7327,49.49635,102.3973,56.53979,44.26331,50.31836,12.75519,48.15014,14.56744,36.98277,46.48196,28.68821,50.35678,37.31591,46.48196,57.22665,61.36385,17.83375,20.66546,44.78634,29.0911,12.77065,44.8499,11.83373,58.66988,9.553723,66.47543,23.24625,53.59338,24.77945,53.94401,10.41918,53.33633,6.256828,51.48985,6.685053,50.11907,10.77105,47.73734,5.133015,52.5438,10.11942,43.19168,5.354089,39.33173,7.648856,62.63135,6.323576,69.56969,13.25297,68.25063,9.365083,66.13953,11.8276,72.73409,14.4512,69.79429,58.23572,13.441,75.21459,18.94927,55.56683,82.38514,47.28742,66.14237,75.21664,53.20111,48.74385,78.81052,80.75508,72.70503,72.17411,86.15079,95.41585,86.9774,85.91763,76.74863
E02003768,65.01415,29.76725,21.00864,31.86748,25.21629,20.10568,27.01156,24.47503,30.10264,34.38615,35.04575,37.39639,31.48684,37.45026,72.98613,47.2627,61.35187,61.43964,49.65975,73.21089,64.72868,64.2642,17.35292,64.92876,24.39636,84.40625,88.01407,71.04873,85.09817,55.89336,68.38117,59.38412,65.48901,54.77436,49.35004,59.38412,47.73939,36.19127,53.49136,49.63239,32.68999,39.86636,72.49027,31.8011,69.07225,22.55804,70.07225,29.00689,70.94871,21.66521,80.91862,21.97004,70.45318,23.32453,73.02755,14.02131,72.13601,19.91708,70.7766,10.2688,70.58396,14.14367,69.87939,39.79159,69.98814,13.12485,68.90099,32.61955,66.33795,39.5579,71.94344,43.59732,65.72849,44.22453,65.49435,44.73665,72.74474,47.8793,18.90398,67.10774,37.74606,70.31757,18.09829,44.9166,15.144,28.67383,37.7481,15.73257,16.60043,41.34198,44.56395,40.56161,40.03068,49.95964,58.78285,50.78627,53.7742,44.60521
E02003249,100.2873,65.04035,55.67235,67.14058,60.48938,55.37878,62.28466,59.74813,65.37573,69.65925,70.31885,72.66948,66.75993,71.88781,95.96326,70.23983,84.329,84.41676,78.02541,98.93961,100.0018,99.53729,47.3009,100.2019,54.34434,38.61077,44.66582,10.15218,42.4976,12.372,31.33023,40.82943,26.49277,44.70424,35.12046,40.82943,51.57412,59.1684,15.63831,18.47002,42.5909,26.89566,12.05467,42.65446,9.324656,56.47444,10.32466,64.27999,20.71056,51.39794,19.12691,51.74857,10.70558,51.14089,7.52876,49.29441,8.777113,47.92363,8.143184,45.54189,8.263782,50.34836,7.583736,40.99624,4.489359,37.1363,4.672915,60.43591,3.128142,67.37425,10.64997,66.0552,7.16964,63.94408,9.632159,70.53865,11.8482,67.59885,56.04028,11.24555,73.01915,16.34626,53.37138,80.18969,45.09198,63.94693,73.0212,51.00566,46.54841,76.61507,78.55964,70.50959,69.97867,83.95535,93.22041,84.78196,83.72219,74.55319
E02003769,92.51015,57.52278,47.31498,59.04523,52.97182,49.08669,54.50755,52.5038,58.02747,61.88214,62.97058,65.32121,59.41166,63.53044,84.29536,58.57193,72.66109,72.74886,66.35751,87.27171,92.22467,91.76019,39.70574,92.42475,46.35476,83.11964,89.4587,66.6303,87.29048,51.47493,79.69041,70.69334,75.79824,66.0836,59.65927,70.69334,59.04861,47.5005,49.07294,45.21396,42.99922,35.44793,68.07185,42.11033,64.65384,40.1384,65.65384,49.63936,60.07324,20.29598,77.88252,20.64661,66.03476,12.44906,68.60912,31.69651,67.71758,16.18028,66.35818,30.90126,66.16555,22.13945,65.46097,28.91612,65.56973,38.7479,64.48257,11.36141,61.91953,7.354635,67.52502,19.4253,61.31006,21.4253,61.07593,20.72175,68.32632,25.08006,44.84586,62.68932,64.9238,65.89915,52.76897,72.09434,46.45622,55.85157,65.24409,50.41924,48.75833,68.83797,70.20226,55.30524,62.96038,75.59797,84.86304,76.42459,68.51784,59.34884
E02003250,99.28725,64.04035,54.67235,66.14058,59.48938,54.37878,61.28466,58.74813,64.37573,68.65925,69.31885,71.66948,65.75993,70.88781,94.96326,69.23983,83.329,83.41676,77.02541,97.93961,99.00177,98.53729,46.3009,99.20186,53.34434,40.79021,46.84527,9.152178,44.67705,11.372,33.50967,43.00887,25.49277,46.88369,34.12047,43.00887,53.75356,58.1684,14.63831,17.47002,41.5909,25.89566,11.05467,41.65446,8.324656,55.47444,9.324656,63.27999,19.71056,50.39794,21.30636,50.74857,9.70558,50.14089,8.302314,48.29441,8.709997,46.92363,7.143184,44.54189,7.157959,49.34836,6.583736,39.99624,5.262913,36.13629,4.175764,59.43591,3.802539,66.37425,9.649966,65.0552,6.16964,62.94408,8.632159,69.53865,10.8482,66.59885,55.04028,10.24555,72.01915,15.34626,52.37138,79.18969,44.09198,62.94693,72.0212,50.00566,45.54841,75.61507,77.55964,69.50959,68.97867,82.95535,92.22041,83.78196,82.72219,73.55319
E02003770,85.32083,50.33346,40.12566,52.6728,45.7825,41.89737,47.31823,45.31448,50.83815,54.69282,55.78126,58.13189,52.22235,56.34113,93.29536,67.57193,81.66109,81.74886,72.83865,93.51757,85.03535,84.57087,37.5385,85.23544,39.16544,90.16021,96.49927,75.6303,94.33105,60.47493,88.69041,79.69334,84.79824,75.08359,68.65926,79.69334,68.04861,56.5005,58.07294,54.21396,51.99922,44.44794,77.07185,51.11033,73.65384,49.1384,74.65384,58.63936,67.1138,29.29598,86.88252,29.64661,75.03476,21.44906,77.60912,40.69651,76.71758,25.18028,75.35818,39.90126,75.16555,31.13945,74.46098,34.68478,74.56973,47.7479,73.48257,9,70.91953,17.38736,76.52501,12.23598,70.31006,14.23598,70.07592,13.53243,77.32632,17.89074,53.84586,71.68932,60.92495,74.89915,57.8178,67.38876,39.2669,55.70202,58.05478,50.82985,41.56901,61.64865,63.01295,48.11592,55.77106,68.40865,77.67372,69.23527,61.32851,52.15952
E02003251,101.2112,65.96434,56.59634,68.06457,61.41338,56.30276,63.20864,60.67212,66.29972,70.58324,71.24284,73.59347,67.68392,72.81181,96.88725,71.16382,85.25299,85.34075,78.94939,99.86359,100.9258,100.4613,48.22489,101.1259,55.26833,39.46403,45.80308,8.261446,43.63486,13.29599,34.05703,43.55623,28.70971,47.43104,37.33741,43.55623,54.30091,60.0924,16.5623,19.39401,43.51488,27.81965,12.04304,43.57845,8.625024,57.39843,9.625024,65.20398,16.75095,52.32193,21.85372,52.67256,10.00595,52.06488,12.66685,50.2184,12.36734,48.84762,5.416939,46.46589,10.82899,51.27235,9.019133,41.92023,9.627445,38.06028,8.540296,61.3599,6.988291,68.29824,4.656293,66.97918,9.386583,64.86807,11.8491,71.46264,9.957463,68.52283,56.96426,13.4625,73.94315,14.45553,54.29537,81.11369,46.01597,64.87091,73.94518,51.92965,47.4724,77.53907,79.48363,71.43358,70.90266,84.87933,94.1444,85.70596,84.64617,75.47719
