Origen,E02006825,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731,E02003732,E02003733,E02003734,E02003735,E02003736,E02003737,E02003738,E02003739,E02006873,E02003740,E02006874,E02003742,E02003743,E02006877,E02003744,E02006878,E02003745,E02003746,E02003747,E02003748,E02003749,E02003750,E02003751,E02003752,E02003753,E02003754,E02003755,E02003756,E02003237,E02003757,E02003238,E02003758,E02003239,E02003759,E02003240,E02003760,E02003241,E02003761,E02003242,E02003762,E02003243,E02003763,E02003244,E02003764,E02003245,E02003765,E02003246,E02003766,E02003247,E02003767,E02003248,E02003768,E02003249,E02003769,E02003250,E02003770,E02003251,E02003771,E02003252,E02003772,E02003253,E02003773,E02003254,E02003774,E02003775,E02003255,E02003776,E02003257,E02003777,E02003778,E02003779,E02003780,E02003781,E02003783,E02003784,E02003785,E02003786,E02003787,E02003788,E02003789,E02003790,E02003791,E02003792,E02003793
E02003753,46.96587,31.77555,30.88651,32.25698,30.8341,29.37462,32.34095,30.83699,32.45558,33.50409,33.48172,36.12334,32.78795,33.47874,41.74574,38.46342,39.74532,38.27557,33.66418,43.99186,44.81567,43.43829,26.24106,38.50392,26.85145,29.94431,25.69925,4.173182,24.49882,3.585604,20.65167,19.65104,7.818873,21.96795,11.80207,20.87528,25.31571,28.40434,37.4576,6.357053,17.92689,8.396692,11.44735,22.44986,11.18952,20.74698,12.32695,23.15516,13.95094,16.6138,10.87702,17.3842,8.952179,13.37584,9.834694,20.5726,9.588836,14.99569,7.944377,20.66649,9.112014,16.87077,8.045562,21.28079,7.97205,20.70582,6.779421,16.40902,6.546746,24.25974,8.170721,21.96877,6.244228,21.32917,4.849436,23.13697,6.830924,22.52469,30.35383,4.601779,35.2132,5.118157,28.0484,34.88619,27.84325,30.1836,34.10323,28.79131,32.71927,39.04142,35.69572,32.95073,33.97472,37.86392,44.4618,37.8831,40.17525,37.18391
E02003754,48.01463,32.82431,31.93526,33.30574,31.88286,30.42338,33.3897,31.88575,33.50433,34.55285,34.53048,37.1721,33.83671,34.5275,45.26891,39.51561,40.79751,39.32775,34.71637,45.04404,45.86786,44.49048,27.27781,39.55268,27.8882,35.52825,31.28319,7.953124,30.08275,7.365545,26.23561,25.23498,13.40281,27.55188,17.38601,26.45922,30.89965,30.75592,6.357053,60.16738,19.6172,9.406288,15.22729,24.14017,14.96946,21.79917,16.76982,24.20735,14.9503,17.66599,15.33024,18.43378,12.73212,14.40702,13.61464,21.62479,13.36878,16.04788,11.72432,21.71869,12.89196,17.90752,11.8255,22.29042,11.75199,21.75539,11.23265,17.44019,10.32669,25.29091,11.95066,22.99994,10.02417,22.3591,8.800919,24.16814,8.103816,23.55463,31.40341,9.203555,36.26278,7.834871,29.09797,35.93495,28.88303,31.23236,35.15199,29.83109,33.75602,40.09018,36.74236,33.98748,35.0145,38.91056,45.51056,38.92974,41.21503,38.22066
E02003755,44.34074,32.22737,31.33832,32.7088,31.28592,29.82644,32.79277,31.28881,32.90739,33.95591,33.93354,36.57516,33.23977,33.93056,33.73477,27.42418,29.26337,28.5204,26.72808,34.55068,37.87957,36.50219,27.05672,38.95574,27.66711,35.722,31.47694,18.28734,30.2765,19.5735,26.42936,22.86572,13.61634,22.78011,15.45672,21.61819,20.12898,15.5267,17.92689,19.6172,53.35423,17.31113,24.05922,6.105113,23.6999,9.278962,24.69923,19.36758,27.24491,15.83891,22.33504,14.69336,21.56406,19.60087,22.44657,16.78502,21.96224,17.2944,20.86177,16.87891,21.72389,17.68822,22.15972,26.99025,20.37753,20.93112,19.15171,21.98338,19.15862,28.571,21.42808,27.54312,19.33753,26.90352,17.22172,28.71132,20.39464,28.09905,24.89017,15.79931,31.69702,19.48553,27.59488,33.20974,28.29785,30.63542,34.55504,29.24591,33.53493,39.49324,36.14754,33.7664,34.42932,38.31574,44.91362,38.33492,40.62985,37.99956
E02003756,42.30485,27.11452,26.22548,27.59595,26.17307,24.7136,27.67992,26.17596,27.79455,28.84307,28.82069,31.46232,28.12693,28.81772,39.5592,33.8059,35.0878,33.61805,29.00666,39.33434,40.15816,38.78078,21.56803,33.8429,22.17842,37.56789,33.32283,9.992762,32.12239,9.405184,28.27524,27.27461,15.44245,29.59152,19.42565,28.49886,30.67827,25.04622,8.396692,9.406288,17.31113,62.32772,17.26693,19.38035,17.0091,16.08947,18.80946,18.49765,17.05762,11.95629,17.36988,12.724,14.77176,8.697233,15.65427,15.91509,15.40842,10.33817,13.76396,16.00898,14.93159,12.19774,13.86514,16.58064,13.79163,16.04561,13.27228,11.73041,12.36633,19.58113,13.9903,17.29016,12.06381,16.64932,10.84056,18.45836,10.21114,17.84485,25.69363,11.24319,30.55299,9.942195,23.38819,30.22516,23.17325,25.52257,29.4422,24.12131,28.04624,34.3804,31.03258,28.27771,29.30472,33.20078,39.80078,33.21996,35.50525,32.51088
E02003237,55.83611,40.64579,39.75674,41.12722,39.70433,38.24486,41.21118,39.70723,41.32581,42.37433,42.35196,44.99358,41.65819,42.34898,41.49372,40.94029,42.77949,42.03651,41.23697,48.06679,52.01766,51.09111,35.11129,47.37416,35.72169,29.69229,25.44723,8.391081,24.24679,10.08917,20.39964,21.3369,12.72538,23.6538,16.70858,22.56114,27.00157,30.0902,11.44735,15.22729,24.05922,17.26693,33.78738,28.5822,3.048199,29.61722,5.834679,32.0254,12.1847,25.48404,8.155722,26.25444,3.934588,22.24608,5.377707,29.44284,5.895533,23.86592,4.246877,29.53673,5.124011,25.741,5.610016,30.15103,5.821714,29.57605,6.982119,25.27926,6.053333,33.12998,7.731272,30.839,7.912924,30.1994,6.837504,32.00721,9.564199,31.39493,39.22407,8.259913,44.08344,9.873568,36.91863,43.75642,36.71348,39.05384,42.97346,37.66154,41.5895,47.91166,44.56596,41.82097,42.84495,46.73416,53.33204,46.75333,49.04548,46.05414
E02003757,40.7347,28.62132,27.73228,29.10275,27.67987,26.2204,29.18672,27.68276,29.30135,30.34987,30.32749,32.96912,29.63373,30.32451,30.43282,24.12222,25.96142,25.21844,23.12204,31.24872,34.27353,32.89615,23.45067,35.3497,24.06107,35.34921,31.10415,22.81032,29.90372,24.09648,26.05657,20.59354,18.13932,20.50793,19.90244,19.34601,17.8568,12.22475,22.44986,24.14017,6.105113,19.38035,28.5822,47.01372,28.22287,5.672917,29.22221,15.76153,31.76788,12.23286,26.85801,11.08731,26.08703,15.99483,26.96955,13.17897,26.48522,13.68836,25.38475,13.27287,26.24687,14.08218,26.6827,23.3842,24.90051,17.32508,23.67468,18.37733,23.6816,24.96495,25.95106,23.93708,23.8605,23.29748,21.7447,25.10528,24.91762,24.493,21.28412,20.32229,28.09098,24.0085,23.98884,29.60369,24.6918,27.02937,30.949,25.63987,29.92888,35.8872,32.5415,30.16035,30.82328,34.7097,41.30758,34.72887,37.0238,34.39352
E02003238,55.57828,40.38796,39.49892,40.86939,39.44651,37.98703,40.95335,39.4494,41.06799,42.1165,42.09413,44.73575,41.40036,42.09115,39.881,39.32758,41.16677,40.4238,39.62425,46.45408,50.40495,49.4784,34.85347,47.11633,35.46386,28.07957,23.83451,8.133255,22.63408,9.831342,18.78693,19.72419,12.36605,22.04109,16.34925,20.94843,25.38886,28.47749,11.18952,14.96946,23.6999,17.0091,3.048199,28.22287,9.357231,29.35939,4.233461,31.76757,13.56808,25.22621,6.543008,25.99662,2.508646,21.98826,3.734317,29.18501,4.252143,23.6081,3.989051,29.27891,4.866185,25.48318,5.35219,29.8932,5.559887,29.31823,5.341071,25.02143,5.791506,32.87215,7.473446,30.58118,7.655098,29.94158,6.579678,31.74938,9.306374,31.1371,38.96624,7.900583,43.82561,9.615742,36.6608,43.4986,36.45566,38.79601,42.71564,37.40372,41.33168,47.65383,44.30813,41.56314,42.58713,46.47633,53.07421,46.49551,48.78766,45.79631
E02003758,37.34697,22.94841,22.05936,23.42984,22.00695,20.54748,23.5138,22.00985,23.62843,24.67695,24.65458,27.2962,23.96081,24.6516,27.16482,20.85422,22.69342,21.95044,19.73431,27.98072,30.88581,29.50842,17.77775,29.67678,18.38815,32.08121,27.83615,22.34305,26.63572,21.75547,22.78857,17.32554,21.31317,17.23993,23.07629,16.07801,14.5888,8.95675,20.74698,21.79917,9.278962,16.08947,29.61722,5.672917,29.35939,76.38605,31.15975,10.08861,29.42688,6.559947,28.79623,5.414396,27.12205,10.32191,28.00456,7.506052,27.75871,8.015437,26.11425,7.599948,27.28188,8.409263,26.21543,17.71129,26.14192,11.65216,25.62257,12.70441,24.71662,19.29203,26.34059,18.26416,24.4141,17.62456,23.19085,19.43236,22.57662,18.82009,17.8964,23.49614,24.70325,22.30767,18.70662,26.05904,19.01889,21.35645,25.27608,19.96695,24.25597,30.21428,26.86858,24.48743,25.15036,29.03678,35.63466,29.05596,31.35089,28.7206
E02003239,57.37864,42.18832,41.29927,42.66975,41.24686,39.78739,42.75371,41.24975,42.86834,43.91686,43.89449,46.53611,43.20072,43.89151,40.64275,40.08932,41.92852,41.18554,40.386,47.21583,51.1667,50.24015,36.65382,48.91669,37.26421,28.84132,24.59626,9.996363,23.39583,11.6317,19.54868,20.48593,13.36539,22.80284,17.34859,21.71017,26.1506,29.23924,12.32695,16.76982,24.69923,18.80946,5.834679,29.22221,4.233461,31.15975,42.83836,33.56793,16.35456,27.02657,7.304757,27.79697,5.758157,23.78861,4.837788,30.98536,5.261806,25.40845,5.853556,31.07926,6.729292,27.28354,7.216695,31.69356,6.72114,31.11858,6.340407,26.82178,7.574497,34.67251,9.276237,32.38153,9.455453,31.74193,8.098645,33.54974,11.16948,32.93746,40.7666,8.89992,45.62597,11.47885,38.46116,45.29895,38.25601,40.59636,44.51599,39.20407,43.13203,49.45419,46.10849,43.3635,44.38748,48.27669,54.87457,48.29586,50.58801,47.59667
E02003759,28.12168,17.80954,16.92049,18.29097,16.86809,15.40861,18.37493,16.87098,18.48956,19.53808,19.51571,22.15733,18.82194,19.51273,21.06156,15.30825,16.59016,15.12041,10.50902,20.83669,21.66051,20.28313,16.11122,24.53791,16.72161,38.87425,34.62919,24.75123,33.42875,24.16365,29.58161,24.11858,30.20092,24.03297,31.18373,22.87105,21.38184,14.78116,23.15516,24.20735,19.36758,18.49765,32.0254,15.76153,31.76757,10.08861,33.56793,33.69225,31.83506,8.907785,32.12835,7.762235,29.53023,12.73009,30.41274,4.02418,30.16689,10.42362,28.52243,3.407277,29.69007,9.530738,28.62361,20.11947,28.5501,6.638047,28.03075,15.11259,27.1248,17.6255,28.74877,20.41474,26.82228,20.03274,25.59903,20.59959,24.9848,21.22827,8.6711,26.00166,15.47796,24.71585,11.37582,16.99067,13.88002,16.21758,20.13721,14.82808,21.32695,25.07541,21.72971,22.8209,20.01149,23.89791,30.49579,23.91709,26.21202,27.05407
