MSOA11CD,MSOA11NM
E01018120,Huntingdonshire 017C
E01015593,Peterborough 009A
E01018278,South Cambridgeshire 021C
E01018121,Huntingdonshire 007A
E01015594,Peterborough 011C
E01018279,South Cambridgeshire 015A
E01018122,Huntingdonshire 007B
E01015595,Peterborough 011D
E01018280,South Cambridgeshire 015B
E01018123,Huntingdonshire 007C
E01015596,Peterborough 009B
E01018281,South Cambridgeshire 015C
E01018124,Huntingdonshire 007D
E01015597,Peterborough 011E
E01018282,South Cambridgeshire 015D
E01018125,Huntingdonshire 015A
E01018283,South Cambridgeshire 015E
E01018126,Huntingdonshire 015B
E01018284,South Cambridgeshire 003C
E01018127,Huntingdonshire 002A
E01018285,South Cambridgeshire 003D
E01018128,Huntingdonshire 002B
E01018286,South Cambridgeshire 011D
E01018129,Huntingdonshire 016A
E01018287,South Cambridgeshire 011E
E01018130,Huntingdonshire 016B
E01018288,South Cambridgeshire 017C
E01018289,South Cambridgeshire 017D
E01018290,South Cambridgeshire 019D
E01018291,South Cambridgeshire 014E
E01018292,South Cambridgeshire 012A
E01018293,South Cambridgeshire 012B
E01018294,South Cambridgeshire 012C
E01018295,South Cambridgeshire 012D
E01018296,South Cambridgeshire 011F
E01018297,South Cambridgeshire 007D
E01018298,South Cambridgeshire 004A
E01018299,South Cambridgeshire 004B
E01018300,South Cambridgeshire 004C
E01018301,South Cambridgeshire 004D
E01018302,South Cambridgeshire 017E
E01018303,South Cambridgeshire 017F
E01018304,South Cambridgeshire 001A
E01018305,South Cambridgeshire 001B
E01018306,South Cambridgeshire 001C
E01018307,South Cambridgeshire 001D
E01032611,East Cambridgeshire 011D
E01033111,Fenland 003H
E01033112,Fenland 003I
E01033113,South Cambridgeshire 020A
E01033114,South Cambridgeshire 020B
E01033115,South Cambridgeshire 020C
E01033116,South Cambridgeshire 021D
E01033117,South Cambridgeshire 020D
E01033118,South Cambridgeshire 021E
E01033119,South Cambridgeshire 020E
E01033120,South Cambridgeshire 006G
E01033121,South Cambridgeshire 006H
E01033173,Peterborough 016F
E01033174,Peterborough 022C
E01033175,Peterborough 023B
