50,22,2,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,14,4,0,2,0,0,4,2,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2
44,58,14,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,4,4,2,0,2,0,2,0,0,2,0,0,4,0,0,0,0,0,0,2,4,0,8,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,2,2,0,6,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
4,2,48,4,0,0,2,0,2,0,0,0,2,0,2,8,0,0,0,4,6,0,2,4,0,6,0,0,0,0,0,0,2,2,2,0,2,2,4,0,0,2,2,10,8,14,0,4,0,0,0,0,6,0,0,0,2,0,6,0,2,0,0,2,0,2,2,2,0,0,0,0,0,2,0,0,2,2,6,2,4,0,0,2,0,0,0,2,0,4,4,6,0,0,4,0,0,2,0,0,0,4,0,0,0,2,0,2,0,0,2,0,4,2,0,2,0,0,2,2,0,0,2,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,2,0,2,4,2,0,0,0,4,0,0,0,2,4,4,4,0,2,0,0,0,0,0,2,4,0,0,0,4,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,2,2,0,0,4,0,6,0,2,8,6,0,6,0,0
0,0,0,24,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,14,18,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,8,0,0,2,0,0,2,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,4,224,170,202,12,4,6,18,2,22,24,4,14,32,20,22,22,6,4,2,8,2,6,10,6,4,2,18,2,8,10,48,6,8,6,14,16,28,10,14,20,4,0,12,106,4,4,4,0,6,8,16,4,18,34,26,10,16,2,6,12,12,16,10,16,12,4,4,6,54,4,60,4,6,12,6,6,0,4,6,18,10,8,6,6,0,0,4,6,6,0,4,6,4,0,2,4,18,6,10,6,0,22,6,4,8,10,10,6,10,20,0,12,6,18,12,8,8,2,6,16,4,66,10,6,66,14,4,62,4,76,6,10,4,8,6,16,0,0,2,4,0,6,6,4,2,0,2,2,6,4,0,4,16,2,10,6,16,6,2,8,14,6,2,6,4,4,4,12,2,4,0,2,6,4,22,4,4,0,0,6,6,4,6,6,4,8,10,10,4,6,0,2,4,6,6,4,4,4,0,4,6,0,20,10,22,12,10,4,0,0,0,8
2,2,2,2,6,8,66,10,4,4,4,22,24,0,6,8,8,4,2,0,2,2,0,2,6,2,0,0,10,18,0,6,26,30,0,6,16,6,2,10,2,6,4,6,0,0,0,10,0,2,10,2,0,2,2,6,2,0,2,4,0,4,4,0,4,0,0,6,2,0,2,8,0,2,0,2,6,8,2,6,6,2,4,4,2,0,4,2,2,4,0,0,0,6,0,2,0,2,0,4,2,0,4,0,8,0,0,2,8,4,4,4,16,4,4,2,8,2,4,6,2,2,10,0,8,0,2,6,2,2,0,4,4,0,6,6,2,2,2,0,6,4,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,2,2,6,2,4,4,2,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,2,0,0,0,0,2,0,2,4,2,4,0,0,0,0,4,0
0,0,0,6,6,6,8,26,0,4,2,8,16,0,0,0,0,2,0,2,0,0,6,0,0,0,0,2,4,0,0,2,4,8,4,6,8,2,0,0,0,0,0,2,0,0,2,2,0,2,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,6,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,8,0,0,0,4,0,0,0,2,0,6,2,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,4,2,0,0,2,0,2,2,0,0,0,0,0,2,0,0,2,2,2,2,8,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,0,0,0,0
2,0,0,8,2,4,4,2,446,148,68,6,8,0,0,0,2,2,6,4,2,8,2,0,2,0,12,18,26,4,2,0,2,2,8,2,0,8,0,4,0,0,2,0,0,0,4,32,26,32,16,32,0,8,0,40,8,2,0,0,2,0,0,4,0,2,0,2,0,2,2,0,0,0,0,0,0,0,2,2,0,4,2,66,0,2,0,2,0,0,0,2,2,2,2,2,0,0,4,0,6,2,0,28,10,2,0,0,10,2,0,0,10,0,2,0,16,0,2,10,0,0,4,0,0,0,2,2,0,0,8,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
0,0,0,0,0,0,2,0,4,56,16,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
