LSOANM,LSOACD,MSOACD,MSOANM,Sm,Sn
Peterborough 001A,E01015629,E02003237,Peterborough 001,680,1380
Peterborough 001B,E01015635,E02003237,Peterborough 001,650,1286
Peterborough 001C,E01015636,E02003237,Peterborough 001,485,951
Peterborough 001D,E01015679,E02003237,Peterborough 001,843,1493
Peterborough 002A,E01015678,E02003238,Peterborough 002,582,1121
Peterborough 002B,E01015680,E02003238,Peterborough 002,659,1147
Peterborough 002C,E01015681,E02003238,Peterborough 002,598,1234
Peterborough 002D,E01015682,E02003238,Peterborough 002,686,1192
Peterborough 003A,E01015630,E02003239,Peterborough 003,654,1256
